t,c,avg_prime_bits,total_prime_bits,runtime
127,3,300.0,1500,0.06400775909423828
128,3,300.0,1500,0.06053614616394043
129,3,300.0,1500,0.04933047294616699
130,4,400.0,2000,0.08338308334350586
131,4,400.0,2000,0.11911654472351074
132,4,400.0,2000,0.08612251281738281
133,4,400.0,2000,0.14592456817626953
134,4,400.0,2000,0.11396455764770508
135,4,400.0,2000,0.0958251953125
136,4,400.0,2000,0.13817429542541504
137,4,400.0,2000,0.10009574890136719
138,4,400.0,2000,0.07238078117370605
139,4,400.0,2000,0.14916253089904785
140,4,400.0,2000,0.10427451133728027
141,4,400.0,2000,0.1966078281402588
142,4,400.0,2000,0.20250797271728516
143,4,400.0,2000,0.16281986236572266
144,4,400.0,2000,0.148512601852417
145,4,400.0,2000,0.08381342887878418
146,4,400.0,2000,0.1415877342224121
147,4,400.0,2000,0.19703221321105957
148,4,400.0,2000,0.08676624298095703
149,4,400.0,2000,0.10969662666320801
150,4,400.0,2000,0.05606579780578613
151,4,400.0,2000,0.2759690284729004
152,4,400.0,2000,0.08995580673217773
153,4,400.0,2000,0.09615659713745117
154,4,400.0,2000,0.11944174766540527
155,4,400.0,2000,0.08694314956665039
156,4,400.0,2000,0.08334541320800781
157,4,400.0,2000,0.10338687896728516
158,4,400.0,2000,0.1008756160736084
159,4,400.0,2000,0.11876106262207031
160,4,400.0,2000,0.21223664283752441
161,4,400.0,2000,0.11081624031066895
162,4,400.0,2000,0.11823344230651855
163,4,400.0,2000,0.06221461296081543
164,4,400.0,2000,0.16038298606872559
165,4,400.0,2000,0.07543301582336426
166,4,400.0,2000,0.08330655097961426
167,4,400.0,2000,0.17895936965942383
168,4,400.0,2000,0.11450839042663574
169,4,400.0,2000,0.12974333763122559
170,4,400.0,2000,0.09177947044372559
171,4,400.0,2000,0.13171625137329102
172,5,500.0,2500,0.17728805541992188
173,5,500.0,2500,0.25153017044067383
174,5,500.0,2500,0.1992809772491455
175,5,500.0,2500,0.295184850692749
176,5,500.0,2500,0.12530016899108887
177,5,500.0,2500,0.3764517307281494
178,5,500.0,2500,0.23876643180847168
179,5,500.0,2500,0.1514263153076172
180,5,500.0,2500,0.2452547550201416
181,5,500.0,2500,0.18718934059143066
182,5,500.0,2500,0.24217629432678223
183,5,500.0,2500,0.1430356502532959
184,5,500.0,2500,0.41628146171569824
185,5,500.0,2500,0.1985781192779541
186,5,500.0,2500,0.24291181564331055
187,5,500.0,2500,0.1341104507446289
188,5,500.0,2500,0.20976567268371582
189,5,500.0,2500,0.13959288597106934
190,5,500.0,2500,0.11349630355834961
191,5,500.0,2500,0.1562182903289795
192,5,500.0,2500,0.15579605102539062
193,5,500.0,2500,0.14202308654785156
194,5,500.0,2500,0.3728916645050049
195,5,500.0,2500,0.16748929023742676
196,5,500.0,2500,0.24172210693359375
197,5,500.0,2500,0.27477264404296875
198,6,600.0,3000,0.4424161911010742
199,6,600.0,3000,0.3218874931335449
200,6,600.0,3000,0.16092944145202637
201,6,600.0,3000,0.6114938259124756
202,6,600.0,3000,0.3039259910583496
203,6,600.0,3000,0.3014791011810303
204,6,600.0,3000,0.4678769111633301
205,6,600.0,3000,0.20881080627441406
206,6,600.0,3000,0.5037226676940918
207,6,600.0,3000,0.26762843132019043
208,6,600.0,3000,0.5710718631744385
209,6,600.0,3000,0.5168163776397705
210,6,600.0,3000,0.31661462783813477
211,6,600.0,3000,0.6718580722808838
212,6,600.0,3000,0.33570027351379395
213,6,600.0,3000,0.5392675399780273
214,6,600.0,3000,0.21970701217651367
215,7,700.0,3500,1.0670270919799805
216,7,700.0,3500,0.4084334373474121
217,7,700.0,3500,0.2897908687591553
218,7,700.0,3500,0.34233856201171875
219,7,700.0,3500,0.6940915584564209
220,7,700.0,3500,0.404282808303833
221,7,700.0,3500,0.42167091369628906
222,7,700.0,3500,0.7294721603393555
223,7,700.0,3500,0.28931617736816406
224,7,700.0,3500,0.4935452938079834
225,7,700.0,3500,0.3184540271759033
226,7,700.0,3500,0.7261252403259277
227,8,800.0,4000,0.5050849914550781
228,8,800.0,4000,0.9338681697845459
229,8,800.0,4000,1.1062688827514648
230,8,800.0,4000,1.2072083950042725
231,8,800.0,4000,0.6981964111328125
232,8,800.0,4000,1.224081039428711
233,8,800.0,4000,0.3146374225616455
234,8,800.0,4000,0.6651718616485596
235,8,800.0,4000,0.6354446411132812
236,9,900.0,4500,2.0189504623413086
237,9,900.0,4500,1.2060785293579102
238,9,900.0,4500,1.5403108596801758
239,9,900.0,4500,1.303380012512207
240,9,900.0,4500,2.308171510696411
241,9,900.0,4500,2.720550298690796
242,9,900.0,4500,1.300206184387207
243,9,900.0,4500,0.8497114181518555
244,10,1000.0,5000,2.8242712020874023
245,10,1000.0,5000,2.94218111038208
246,10,1000.0,5000,1.8031930923461914
247,10,1000.0,5000,1.292137861251831
248,10,1000.0,5000,0.8703422546386719
249,11,1100.0,5500,4.233445644378662
250,11,1100.0,5500,7.701195240020752
251,11,1100.0,5500,2.3752968311309814
252,11,1100.0,5500,2.4395313262939453
253,11,1100.0,5500,3.052400827407837
254,12,1200.0,6000,2.320159673690796
255,12,1200.0,6000,3.5774290561676025
256,12,1200.0,6000,3.736799955368042
257,12,1200.0,6000,1.7904036045074463
258,13,1300.0,6500,6.88506555557251
259,13,1300.0,6500,5.438531398773193
260,13,1300.0,6500,8.282365798950195
261,14,1400.0,7000,12.928608179092407
262,14,1400.0,7000,6.469010829925537
263,14,1400.0,7000,9.46582579612732
264,15,1500.0,7500,8.510133981704712
265,15,1500.0,7500,8.535299062728882
266,16,1600.0,8000,22.335174798965454
267,16,1600.0,8000,4.616544246673584
268,17,1700.0,8500,20.402748823165894
269,17,1700.0,8500,22.989546537399292
270,18,1800.0,9000,19.49964475631714
271,18,1800.0,9000,5.238238573074341
272,19,1900.0,9500,6.318296432495117
273,19,1900.0,9500,11.800760746002197
274,20,2000.0,10000,8.825880765914917
275,21,2100.0,10500,54.92398285865784
276,22,2200.0,11000,31.486068725585938
277,23,2300.0,11500,50.68345546722412
278,24,2400.0,12000,44.06251859664917
279,25,2500.0,12500,16.879077672958374
280,26,2600.0,13000,49.31834173202515
281,27,2700.0,13500,44.91326332092285
282,29,2900.0,14500,86.89291667938232
283,31,3100.0,15500,207.50668001174927
284,33,3300.0,16500,290.6223921775818
