shareholders,t,T,setup_runtime,encrypt_runtime
3,50,150,0.03466057777404785,0.0010221004486083984
4,50,150,0.053386688232421875,0.0005917549133300781
5,50,150,0.048186540603637695,0.0003094673156738281
6,50,150,0.06083106994628906,0.0003094673156738281
7,50,150,0.09743690490722656,0.00031280517578125
8,50,150,0.09838342666625977,0.00032019615173339844
9,50,150,0.08706068992614746,0.00030422210693359375
10,50,150,0.10770130157470703,0.00031757354736328125
11,50,150,0.11224794387817383,0.000308990478515625
12,50,150,0.14540863037109375,0.00033164024353027344
13,50,150,0.14049124717712402,0.00035881996154785156
14,50,150,0.18140482902526855,0.0003044605255126953
15,50,150,0.1535952091217041,0.0003287792205810547
16,50,150,0.19020771980285645,0.00031280517578125
17,50,150,0.22874712944030762,0.00030422210693359375
18,50,150,0.2255997657775879,0.00029969215393066406
19,50,150,0.24738287925720215,0.00029397010803222656
20,50,150,0.21297502517700195,0.00030422210693359375
21,50,150,0.29335999488830566,0.00031566619873046875
22,50,150,0.2633228302001953,0.00029277801513671875
23,50,150,0.36562228202819824,0.0005168914794921875
24,50,150,0.29340076446533203,0.0002872943878173828
25,50,150,0.4369626045227051,0.0003039836883544922
26,50,150,0.39397597312927246,0.00029158592224121094
27,50,150,0.46614718437194824,0.0003039836883544922
28,50,150,0.3546934127807617,0.0006067752838134766
29,50,150,0.4059908390045166,0.00030994415283203125
