shareholders,t,T,setup_runtime,encrypt_runtime
3,50,150,0.09897708892822266,0.0005190372467041016
4,50,150,0.06209969520568848,0.0005433559417724609
5,50,150,0.061434268951416016,0.0005385875701904297
6,50,150,0.09313654899597168,0.0006196498870849609
7,50,150,0.10729479789733887,0.0006496906280517578
8,50,150,0.1001431941986084,0.0005011558532714844
9,50,150,0.08753108978271484,0.0005228519439697266
10,50,150,0.11882257461547852,0.0004911422729492188
11,50,150,0.1293165683746338,0.0005083084106445312
12,50,150,0.15446925163269043,0.0005931854248046875
13,50,150,0.2086632251739502,0.0005109310150146484
14,50,150,0.16915059089660645,0.0005393028259277344
15,50,150,0.26864004135131836,0.0004661083221435547
16,50,150,0.20383095741271973,0.0004715919494628906
17,50,150,0.19310855865478516,0.0004820823669433594
18,50,150,0.19118475914001465,0.00047898292541503906
19,50,150,0.26706361770629883,0.0004551410675048828
20,50,150,0.22681260108947754,0.00044655799865722656
21,50,150,0.22549128532409668,0.00047588348388671875
22,50,150,0.23699426651000977,0.0004951953887939453
23,50,150,0.24759125709533691,0.00052642822265625
24,50,150,0.2676737308502197,0.00048089027404785156
25,50,150,0.3306150436401367,0.0005054473876953125
26,50,150,0.38686227798461914,0.0004680156707763672
27,50,150,0.3696877956390381,0.0004813671112060547
28,50,150,0.43945789337158203,0.00047659873962402344
29,50,150,0.379321813583374,0.0004482269287109375
